variant,label,feature_dim_per_bs,input_feature_dim,checkpoint_epoch,checkpoint_val_loss,test_mse,test_rmse,test_mae,mean_distance_error,p50_distance_error,p90_distance_error,p95_distance_error,source
downsample_only,仅降采样特征,408,7344,44,1515.5728925069172,3553.228262683578,59.60896126157189,27.278515641297773,44.30922137720085,29.96088409423828,105.70317535400392,133.64329528808597,rerun
stats_only,仅统计特征,8,144,47,2009.5825447871766,4111.40814555235,64.12026314319327,33.63565299402222,52.77274727317462,43.83039855957031,105.98751525878907,124.65575332641598,rerun
downsample_plus_stats,降采样+统计特征,416,7488,47,1739.9995538119613,3417.3563999604594,58.45815939593428,30.715154068621167,47.942410648333215,39.209346771240234,92.68871002197267,117.63268585205077,existing_result2
