variant,label,use_input_norm,use_dropout,lr,weight_decay,grad_clip,checkpoint_epoch,checkpoint_val_loss,test_mse,test_rmse,test_mae,mean_distance_error,p50_distance_error,p90_distance_error,p95_distance_error,source
no_stabilization,无稳定化,False,False,0.001,0.0,,2,4186.527150121228,7872.276340030589,88.72584933394884,47.62240177956519,76.16244284488734,69.55840301513672,144.6768493652344,168.5097396850586,existing_result1
norm_dropout_only,仅归一化+Dropout,True,True,0.001,0.0,,46,1105.1378247491245,2331.3121306660178,48.28366318607172,21.47108650419683,34.300163302989105,22.84636116027832,80.20037384033205,103.85631103515622,rerun
optimizer_stabilization_only,仅优化层稳定化,False,False,0.0003,0.0001,1.0,7,3540.330254916487,7001.268721974068,83.6735843738875,48.50886403254593,76.71632714531445,75.58262634277344,121.14169921875003,134.13561706542967,rerun
full_stabilization,完整稳定化,True,True,0.0003,0.0001,1.0,47,1739.9995538119613,3417.3563999604594,58.45815939593428,30.715154068621167,47.942410648333215,39.209346771240234,92.68871002197267,117.63268585205077,existing_result2
